Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
1/3/2025,1,Jerry,Kilo,Jerry / Kilo,1,1,2,1,1
1/3/2025,1,Rober,Piztache,Rober / Piztache,1,0,-2,1,1
1/3/2025,2,Jerry,Piztache,Jerry / Piztache,1,0,-3,2,1
1/3/2025,2,Rober,Kilo,Rober / Kilo,1,1,3,2,1
1/3/2025,3,Jerry,Kilo,Jerry / Kilo,1,1,2,3,1
1/3/2025,3,Rober,Piztache,Rober / Piztache,1,0,-2,3,1
1/3/2025,4,Kilo,Piztache,Kilo / Piztache,1,0,-2,4,1
1/3/2025,4,Rober,Jerry,Rober / Jerry,1,1,2,4,1
1/3/2025,5,Jerry,Piztache,Jerry / Piztache,1,1,2,5,1
1/3/2025,5,Rober,Kilo,Rober / Kilo,1,0,-2,5,1
1/3/2025,6,Jerry,Piztache,Jerry / Piztache,1,1,1,6,1
1/3/2025,6,Rober,Kilo,Rober / Kilo,1,0,-1,6,1
1/3/2025,7,Kilo,Piztache,Kilo / Piztache,1,0,-2,7,1
1/3/2025,7,Rober,Jerry,Rober / Jerry,1,1,2,7,1
1/3/2025,8,Jerry,Kilo,Jerry / Kilo,1,0,-2,8,1
1/3/2025,8,Rober,Piztache,Rober / Piztache,1,1,2,8,1
1/3/2025,9,Jerry,Kilo,Jerry / Kilo,1,1,3,9,1
1/3/2025,9,Rober,Piztache,Rober / Piztache,1,0,-3,9,1
1/3/2025,10,Jerry,Piztache,Jerry / Piztache,1,1,1,10,1
1/3/2025,10,Rober,Kilo,Rober / Kilo,1,0,-1,10,1
1/3/2025,11,Jerry,Kilo,Jerry / Kilo,1,0,-2,11,1
1/3/2025,11,Rober,Piztache,Rober / Piztache,1,1,2,11,1
1/10/2025,1,Jerry,Kilo,Jerry / Kilo,1,0,-3,14,1
1/10/2025,1,Jorge,Piztache,Jorge / Piztache,1,1,3,14,1
1/10/2025,2,Jerry,Piztache,Jerry / Piztache,1,1,3,15,1
1/10/2025,2,Jorge,Kilo,Jorge / Kilo,1,0,-3,15,1
1/10/2025,3,Jerry,Kilo,Jerry / Kilo,1,1,1,16,1
1/10/2025,3,Jorge,Piztache,Jorge / Piztache,1,0,-1,16,1
1/10/2025,4,Jerry,Piztache,Jerry / Piztache,1,0,-3,17,1
1/10/2025,4,Jorge,Kilo,Jorge / Kilo,1,1,3,17,1
1/10/2025,5,Jerry,Kilo,Jerry / Kilo,1,1,3,18,1
1/10/2025,5,Jorge,Piztache,Jorge / Piztache,1,0,-3,18,1
1/10/2025,6,Jerry,Kilo,Jerry / Kilo,1,1,1,19,1
1/10/2025,6,Jorge,Piztache,Jorge / Piztache,1,0,-1,19,1
1/10/2025,7,Jerry,Jorge,Jerry / Jorge,1,0,-4,20,1
1/10/2025,7,Kilo,Piztache,Kilo / Piztache,1,1,4,20,1
1/10/2025,8,Jerry,Jorge,Jerry / Jorge,1,1,3,21,1
1/10/2025,8,Kilo,Piztache,Kilo / Piztache,1,0,-3,21,1
1/17/2025,1,Jerry,Jorge,Jerry / Jorge,1,1,1,24,1
