Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
4/4/2025,1,Rober,Kilo,Rober / Kilo,1,1,2,1,1
4/4/2025,1,Jorge,Piztache,Jorge / Piztache,1,0,-2,1,1
4/4/2025,2,Rober,Piztache,Rober / Piztache,1,1,3,2,1
4/4/2025,2,Jerry,Kilo,Jerry / Kilo,1,0,-3,2,1
4/4/2025,3,Rober,Piztache,Rober / Piztache,1,1,1,3,1
4/4/2025,3,Jorge,Kilo,Jorge / Kilo,1,0,-1,3,1
4/4/2025,4,Jerry,Kilo,Jerry / Kilo,1,1,2,4,1
4/4/2025,4,Rober,Piztache,Rober / Piztache,1,0,-2,4,1
4/4/2025,5,Jerry,Piztache,Jerry / Piztache,1,1,2,5,1
4/4/2025,5,Rober,Kilo,Rober / Kilo,1,0,-2,5,1
4/25/2025,1,Kilo,Piztache,Kilo / Piztache,1,1,1,8,1
4/25/2025,1,Rober,Jorge,Rober / Jorge,1,0,-1,8,1
4/25/2025,2,Kilo,Piztache,Kilo / Piztache,1,1,1,9,1
4/25/2025,2,Rober,Jorge,Rober / Jorge,1,0,-1,9,1
4/25/2025,3,Rober,Jorge,Rober / Jorge,1,1,1,10,1
4/25/2025,3,Jerry,Kilo,Jerry / Kilo,1,0,-1,10,1
4/25/2025,4,Rober,Kilo,Rober / Kilo,1,1,1,11,1
4/25/2025,4,Jerry,Jorge,Jerry / Jorge,1,0,-1,11,1
5/2/2025,1,Kilo,Piztache,Kilo / Piztache,1,1,3,14,1
5/2/2025,1,Rober,Jorge,Rober / Jorge,1,0,-3,14,1
5/2/2025,2,Rober,Piztache,Rober / Piztache,1,1,2,15,1
5/2/2025,2,Jorge,Kilo,Jorge / Kilo,1,0,-2,15,1
5/2/2025,3,Rober,Kilo,Rober / Kilo,1,1,3,16,1
5/2/2025,3,Jorge,Piztache,Jorge / Piztache,1,0,-3,16,1
5/2/2025,4,Rober,Kilo,Rober / Kilo,1,1,2,17,1
5/2/2025,4,Jorge,Piztache,Jorge / Piztache,1,0,-2,17,1
5/2/2025,5,Jorge,Kilo,Jorge / Kilo,1,1,3,18,1
5/2/2025,5,Rober,Piztache,Rober / Piztache,1,0,-3,18,1
5/2/2025,6,Jerry,Piztache,Jerry / Piztache,1,1,2,19,1
5/2/2025,6,Jorge,Kilo,Jorge / Kilo,1,0,-2,19,1
5/2/2025,7,Rober,Jerry,Rober / Jerry,1,1,1,20,1
5/2/2025,7,Kilo,Piztache,Kilo / Piztache,1,0,-1,20,1
5/2/2025,8,Rober,Jorge,Rober / Jorge,1,1,4,21,1
5/2/2025,8,Jerry,Piztache,Jerry / Piztache,1,0,-4,21,1
5/2/2025,9,Jerry,Jorge,Jerry / Jorge,1,1,2,22,1
5/2/2025,9,Rober,Kilo,Rober / Kilo,1,0,-2,22,1
5/2/2025,10,Rober,Kilo,Rober / Kilo,1,1,2,23,1
5/2/2025,10,Jerry,Jorge,Jerry / Jorge,1,0,-2,23,1
5/2/2025,11,Jorge,Kilo,Jorge / Kilo,1,1,1,24,1
5/2/2025,11,Rober,Jerry,Rober / Jerry,1,0,-1,24,1
5/2/2025,12,Jerry,Kilo,Jerry / Kilo,1,1,3,25,1
5/2/2025,12,Rober,Jorge,Rober / Jorge,1,0,-3,25,1
5/2/2025,13,Rober,Kilo,Rober / Kilo,1,1,1,26,1
5/2/2025,13,Jerry,Jorge,Jerry / Jorge,1,0,-1,26,1
5/16/2025,1,Rober,Kilo,Rober / Kilo,1,1,2,29,1
5/16/2025,1,Jerry,Piztache,Jerry / Piztache,1,0,-2,29,1
5/16/2025,2,Jorge,Kilo,Jorge / Kilo,1,1,3,30,1
5/16/2025,2,Rober,Piztache,Rober / Piztache,1,0,-3,30,1
5/16/2025,3,Jerry,Piztache,Jerry / Piztache,1,1,2,31,1
5/16/2025,3,Jorge,Kilo,Jorge / Kilo,1,0,-2,31,1
5/16/2025,4,Rober,Jerry,Rober / Jerry,1,1,1,32,1
5/16/2025,4,Kilo,Piztache,Kilo / Piztache,1,0,-1,32,1
5/16/2025,5,Rober,Jorge,Rober / Jorge,1,1,1,33,1
5/16/2025,5,Jerry,Piztache,Jerry / Piztache,1,0,-1,33,1
5/16/2025,6,Rober,Jorge,Rober / Jorge,1,1,2,34,1
5/16/2025,6,Kilo,Piztache,Kilo / Piztache,1,0,-2,34,1
5/16/2025,7,Jorge,Kilo,Jorge / Kilo,1,1,1,35,1
5/16/2025,7,Rober,Jerry,Rober / Jerry,1,0,-1,35,1
5/16/2025,8,Jorge,Piztache,Jorge / Piztache,1,1,1,36,1
5/16/2025,8,Jerry,Kilo,Jerry / Kilo,1,0,-1,36,1
5/16/2025,9,Kilo,Piztache,Kilo / Piztache,1,1,1,37,1
5/16/2025,9,Rober,Jorge,Rober / Jorge,1,0,-1,37,1
5/16/2025,10,Jorge,Piztache,Jorge / Piztache,1,1,2,38,1
5/16/2025,10,Rober,Kilo,Rober / Kilo,1,0,-2,38,1
5/16/2025,11,Jorge,Kilo,Jorge / Kilo,1,1,2,39,1
5/16/2025,11,Rober,Piztache,Rober / Piztache,1,0,-2,39,1
5/23/2025,1,Rober,Jorge,Rober / Jorge,1,1,2,42,1
5/23/2025,1,Kilo,Piztache,Kilo / Piztache,1,0,-2,42,1
5/23/2025,2,Jorge,Kilo,Jorge / Kilo,1,1,1,43,1
5/23/2025,2,Rober,Jerry,Rober / Jerry,1,0,-1,43,1
5/23/2025,3,Jerry,Piztache,Jerry / Piztache,1,1,2,44,1
5/23/2025,3,Jorge,Kilo,Jorge / Kilo,1,0,-2,44,1
5/23/2025,4,Jorge,Piztache,Jorge / Piztache,1,1,1,45,1
5/23/2025,4,Rober,Jerry,Rober / Jerry,1,0,-1,45,1
5/23/2025,5,Kilo,Piztache,Kilo / Piztache,1,1,1,46,1
5/23/2025,5,Rober,Jerry,Rober / Jerry,1,0,-1,46,1
5/23/2025,6,Rober,Jerry,Rober / Jerry,1,1,2,47,1
5/23/2025,6,Kilo,Piztache,Kilo / Piztache,1,0,-2,47,1
5/23/2025,7,Jerry,Kilo,Jerry / Kilo,1,1,1,48,1
5/23/2025,7,Rober,Piztache,Rober / Piztache,1,0,-1,48,1
5/23/2025,8,Rober,Kilo,Rober / Kilo,1,1,1,49,1
5/23/2025,8,Jerry,Piztache,Jerry / Piztache,1,0,-1,49,1
5/23/2025,9,Rober,Kilo,Rober / Kilo,1,1,2,50,1
5/23/2025,9,Jerry,Piztache,Jerry / Piztache,1,0,-2,50,1
5/23/2025,10,Rober,Kilo,Rober / Kilo,1,1,2,51,1
5/23/2025,10,Jerry,Piztache,Jerry / Piztache,1,0,-2,51,1
5/23/2025,11,Rober,Jerry,Rober / Jerry,1,1,1,52,1
5/23/2025,11,Kilo,Piztache,Kilo / Piztache,1,0,-1,52,1
5/30/2025,1,Jerry,Kilo,Jerry / Kilo,1,1,1,55,1
5/30/2025,1,Jorge,Piztache,Jorge / Piztache,1,0,-1,55,1
5/30/2025,2,Jerry,Jorge,Jerry / Jorge,1,1,2,56,1
5/30/2025,2,Kilo,Piztache,Kilo / Piztache,1,0,-2,56,1
5/30/2025,3,Kilo,Piztache,Kilo / Piztache,1,1,2,57,1
5/30/2025,3,Jerry,Jorge,Jerry / Jorge,1,0,-2,57,1
5/30/2025,4,Jorge,Kilo,Jorge / Kilo,1,1,1,58,1
5/30/2025,4,Jerry,Piztache,Jerry / Piztache,1,0,-1,58,1
5/30/2025,5,Jorge,Piztache,Jorge / Piztache,1,1,4,59,1
5/30/2025,5,Jerry,Kilo,Jerry / Kilo,1,0,-4,59,1
6/13/2025,1,Rober,Kilo,Rober / Kilo,1,1,3,62,1
6/13/2025,1,Jerry,Piztache,Jerry / Piztache,1,0,-3,62,1
6/13/2025,2,Jorge,Piztache,Jorge / Piztache,1,1,5,63,1
6/13/2025,2,Jerry,Kilo,Jerry / Kilo,1,0,-5,63,1
6/13/2025,3,Rober,Kilo,Rober / Kilo,1,1,1,64,1
6/13/2025,3,Jerry,Jorge,Jerry / Jorge,1,0,-1,64,1
6/13/2025,4,Jerry,Jorge,Jerry / Jorge,1,1,1,65,1
6/13/2025,4,Kilo,Piztache,Kilo / Piztache,1,0,-1,65,1
6/13/2025,5,Jerry,Jorge,Jerry / Jorge,1,1,1,66,1
6/13/2025,5,Kilo,Piztache,Kilo / Piztache,1,0,-1,66,1
6/13/2025,6,Jerry,Kilo,Jerry / Kilo,1,1,1,67,1
6/13/2025,6,Jorge,Piztache,Jorge / Piztache,1,0,-1,67,1
6/13/2025,7,Rober,Jerry,Rober / Jerry,1,1,1,68,1
6/13/2025,7,Kilo,Piztache,Kilo / Piztache,1,0,-1,68,1
6/13/2025,8,Kilo,Piztache,Kilo / Piztache,1,1,1,69,1
6/13/2025,8,Rober,Jorge,Rober / Jorge,1,0,-1,69,1
6/13/2025,9,Rober,Jerry,Rober / Jerry,1,1,1,70,1
6/13/2025,9,Jorge,Kilo,Jorge / Kilo,1,0,-1,70,1
6/13/2025,10,Jerry,Jorge,Jerry / Jorge,1,1,1,71,1
6/13/2025,10,Rober,Kilo,Rober / Kilo,1,0,-1,71,1
6/13/2025,11,Jerry,Jorge,Jerry / Jorge,1,1,2,72,1
6/13/2025,11,Rober,Kilo,Rober / Kilo,1,0,-2,72,1
6/20/2025,1,Jorge,Piztache,Jorge / Piztache,1,1,2,75,1
6/20/2025,1,Jerry,Kilo,Jerry / Kilo,1,0,-2,75,1
6/20/2025,2,Jorge,Kilo,Jorge / Kilo,1,1,2,76,1
6/20/2025,2,Jerry,Piztache,Jerry / Piztache,1,0,-2,76,1
6/20/2025,3,Jerry,Jorge,Jerry / Jorge,1,1,2,77,1
6/20/2025,3,Kilo,Piztache,Kilo / Piztache,1,0,-2,77,1
6/20/2025,4,Jerry,Kilo,Jerry / Kilo,1,1,1,78,1
6/20/2025,4,Jorge,Piztache,Jorge / Piztache,1,0,-1,78,1
6/20/2025,5,Jerry,Piztache,Jerry / Piztache,1,1,2,79,1
6/20/2025,5,Jorge,Kilo,Jorge / Kilo,1,0,-2,79,1
6/20/2025,6,Jerry,Kilo,Jerry / Kilo,1,1,6,80,1
6/20/2025,6,Jorge,Piztache,Jorge / Piztache,1,0,-6,80,1
6/20/2025,7,Jerry,Jorge,Jerry / Jorge,1,1,2,81,1
6/20/2025,7,Kilo,Piztache,Kilo / Piztache,1,0,-2,81,1
7/4/2025,1,Jorge,Kilo,Jorge / Kilo,1,1,12,84,1
7/4/2025,1,Jerry,Piztache,Jerry / Piztache,1,0,-12,84,1
4/4/2025,1,Kilo,Rober,Rober / Kilo,1,1,2,1,2
4/4/2025,1,Piztache,Jorge,Jorge / Piztache,1,0,-2,1,2
4/4/2025,2,Piztache,Rober,Rober / Piztache,1,1,3,2,2
4/4/2025,2,Kilo,Jerry,Jerry / Kilo,1,0,-3,2,2
4/4/2025,3,Piztache,Rober,Rober / Piztache,1,1,1,3,2
4/4/2025,3,Kilo,Jorge,Jorge / Kilo,1,0,-1,3,2
4/4/2025,4,Kilo,Jerry,Jerry / Kilo,1,1,2,4,2
4/4/2025,4,Piztache,Rober,Rober / Piztache,1,0,-2,4,2
4/4/2025,5,Piztache,Jerry,Jerry / Piztache,1,1,2,5,2
4/4/2025,5,Kilo,Rober,Rober / Kilo,1,0,-2,5,2
4/25/2025,1,Piztache,Kilo,Kilo / Piztache,1,1,1,8,2
4/25/2025,1,Jorge,Rober,Rober / Jorge,1,0,-1,8,2
4/25/2025,2,Piztache,Kilo,Kilo / Piztache,1,1,1,9,2
4/25/2025,2,Jorge,Rober,Rober / Jorge,1,0,-1,9,2
4/25/2025,3,Jorge,Rober,Rober / Jorge,1,1,1,10,2
4/25/2025,3,Kilo,Jerry,Jerry / Kilo,1,0,-1,10,2
4/25/2025,4,Kilo,Rober,Rober / Kilo,1,1,1,11,2
4/25/2025,4,Jorge,Jerry,Jerry / Jorge,1,0,-1,11,2
5/2/2025,1,Piztache,Kilo,Kilo / Piztache,1,1,3,14,2
5/2/2025,1,Jorge,Rober,Rober / Jorge,1,0,-3,14,2
5/2/2025,2,Piztache,Rober,Rober / Piztache,1,1,2,15,2
5/2/2025,2,Kilo,Jorge,Jorge / Kilo,1,0,-2,15,2
5/2/2025,3,Kilo,Rober,Rober / Kilo,1,1,3,16,2
5/2/2025,3,Piztache,Jorge,Jorge / Piztache,1,0,-3,16,2
5/2/2025,4,Kilo,Rober,Rober / Kilo,1,1,2,17,2
5/2/2025,4,Piztache,Jorge,Jorge / Piztache,1,0,-2,17,2
