Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
7/5/2025,1,Kilo,Piztache,Kilo / Piztache,1,1,3,1,1
7/5/2025,1,Jerry,Jorge,Jerry / Jorge,1,0,-3,1,1
7/5/2025,1,Piztache,Kilo,Kilo / Piztache,1,1,3,1,2
7/5/2025,1,Jorge,Jerry,Jerry / Jorge,1,0,-3,1,2
7/5/2025,2,Jorge,Kilo,Jorge / Kilo,1,1,1,2,1
7/5/2025,2,Jerry,Piztache,Jerry / Piztache,1,0,-1,2,1
7/5/2025,2,Kilo,Jorge,Jorge / Kilo,1,1,1,2,2
7/5/2025,2,Piztache,Jerry,Jerry / Piztache,1,0,-1,2,2
7/5/2025,3,Jerry,Jorge,Jerry / Jorge,1,1,2,3,1
7/5/2025,3,Kilo,Piztache,Kilo / Piztache,1,0,-2,3,1
7/5/2025,3,Jorge,Jerry,Jerry / Jorge,1,1,2,3,2
7/5/2025,3,Piztache,Kilo,Kilo / Piztache,1,0,-2,3,2
7/5/2025,4,Jerry,Jorge,Jerry / Jorge,1,1,3,4,1
7/5/2025,4,Kilo,Piztache,Kilo / Piztache,1,0,-3,4,1
7/5/2025,4,Jorge,Jerry,Jerry / Jorge,1,1,3,4,2
7/5/2025,4,Piztache,Kilo,Kilo / Piztache,1,0,-3,4,2
7/5/2025,5,Kilo,Piztache,Kilo / Piztache,1,1,2,5,1
7/5/2025,5,Jerry,Jorge,Jerry / Jorge,1,0,-2,5,1
7/5/2025,5,Piztache,Kilo,Kilo / Piztache,1,1,2,5,2
7/5/2025,5,Jorge,Jerry,Jerry / Jorge,1,0,-2,5,2
7/5/2025,6,Jorge,Kilo,Jorge / Kilo,1,1,4,6,1
7/5/2025,6,Jerry,Piztache,Jerry / Piztache,1,0,-4,6,1
7/5/2025,6,Kilo,Jorge,Jorge / Kilo,1,1,4,6,2
7/5/2025,6,Piztache,Jerry,Jerry / Piztache,1,0,-4,6,2
7/11/2025,1,Jerry,Piztache,Jerry / Piztache,1,1,2,9,1
7/11/2025,1,Rober,Kilo,Rober / Kilo,1,0,-2,9,1
7/11/2025,1,Piztache,Jerry,Jerry / Piztache,1,1,2,9,2
7/11/2025,1,Kilo,Rober,Rober / Kilo,1,0,-2,9,2
7/11/2025,2,Jerry,Kilo,Jerry / Kilo,1,1,1,10,1
7/11/2025,2,Rober,Piztache,Rober / Piztache,1,0,-1,10,1
7/11/2025,2,Kilo,Jerry,Jerry / Kilo,1,1,1,10,2
7/11/2025,2,Piztache,Rober,Rober / Piztache,1,0,-1,10,2
7/11/2025,3,Jerry,Piztache,Jerry / Piztache,1,1,2,11,1
7/11/2025,3,Rober,Kilo,Rober / Kilo,1,0,-2,11,1
7/11/2025,3,Piztache,Jerry,Jerry / Piztache,1,1,2,11,2
7/11/2025,3,Kilo,Rober,Rober / Kilo,1,0,-2,11,2
7/11/2025,4,Kilo,Piztache,Kilo / Piztache,1,1,2,12,1
7/11/2025,4,Rober,Jerry,Rober / Jerry,1,0,-2,12,1
7/11/2025,4,Piztache,Kilo,Kilo / Piztache,1,1,2,12,2
7/11/2025,4,Jerry,Rober,Rober / Jerry,1,0,-2,12,2
7/11/2025,5,Rober,Jerry,Rober / Jerry,1,1,1,13,1
7/11/2025,5,Kilo,Piztache,Kilo / Piztache,1,0,-1,13,1
7/11/2025,5,Jerry,Rober,Rober / Jerry,1,1,1,13,2
7/11/2025,5,Piztache,Kilo,Kilo / Piztache,1,0,-1,13,2
7/11/2025,6,Rober,Jerry,Rober / Jerry,1,1,2,14,1
7/11/2025,6,Kilo,Piztache,Kilo / Piztache,1,0,-2,14,1
7/11/2025,6,Jerry,Rober,Rober / Jerry,1,1,2,14,2
7/11/2025,6,Piztache,Kilo,Kilo / Piztache,1,0,-2,14,2
7/25/2025,1,Rober,Kilo,Rober / Kilo,1,1,1,17,1
7/25/2025,1,Jerry,Piztache,Jerry / Piztache,1,0,-1,17,1
7/25/2025,1,Kilo,Rober,Rober / Kilo,1,1,1,17,2
7/25/2025,1,Piztache,Jerry,Jerry / Piztache,1,0,-1,17,2
7/25/2025,2,Rober,Jerry,Rober / Jerry,1,1,4,18,1
7/25/2025,2,Kilo,Piztache,Kilo / Piztache,1,0,-4,18,1
7/25/2025,2,Jerry,Rober,Rober / Jerry,1,1,4,18,2
7/25/2025,2,Piztache,Kilo,Kilo / Piztache,1,0,-4,18,2
8/1/2025,1,Rober,Kilo,Rober / Kilo,1,1,1,21,1
8/1/2025,1,Jerry,Jorge,Jerry / Jorge,1,0,-1,21,1
8/1/2025,1,Kilo,Rober,Rober / Kilo,1,1,1,21,2
8/1/2025,1,Jorge,Jerry,Jerry / Jorge,1,0,-1,21,2
8/1/2025,2,Kilo,Piztache,Kilo / Piztache,1,1,2,22,1
8/1/2025,2,Rober,Jerry,Rober / Jerry,1,0,-2,22,1
8/1/2025,2,Piztache,Kilo,Kilo / Piztache,1,1,2,22,2
8/1/2025,2,Jerry,Rober,Rober / Jerry,1,0,-2,22,2
8/1/2025,3,Jerry,Piztache,Jerry / Piztache,1,1,2,23,1
8/1/2025,3,Jorge,Kilo,Jorge / Kilo,1,0,-2,23,1
8/1/2025,3,Piztache,Jerry,Jerry / Piztache,1,1,2,23,2
8/1/2025,3,Kilo,Jorge,Jorge / Kilo,1,0,-2,23,2
8/1/2025,4,Jorge,Piztache,Jorge / Piztache,1,1,1,24,1
8/1/2025,4,Rober,Kilo,Rober / Kilo,1,0,-1,24,1
8/1/2025,4,Piztache,Jorge,Jorge / Piztache,1,1,1,24,2
8/1/2025,4,Kilo,Rober,Rober / Kilo,1,0,-1,24,2
8/1/2025,5,Jerry,Kilo,Jerry / Kilo,1,1,2,25,1
8/1/2025,5,Jorge,Piztache,Jorge / Piztache,1,0,-2,25,1
8/1/2025,5,Kilo,Jerry,Jerry / Kilo,1,1,2,25,2
8/1/2025,5,Piztache,Jorge,Jorge / Piztache,1,0,-2,25,2
8/1/2025,6,Rober,Jorge,Rober / Jorge,1,1,1,26,1
8/1/2025,6,Jerry,Piztache,Jerry / Piztache,1,0,-1,26,1
8/1/2025,6,Jorge,Rober,Rober / Jorge,1,1,1,26,2
8/1/2025,6,Piztache,Jerry,Jerry / Piztache,1,0,-1,26,2
8/1/2025,7,Rober,Piztache,Rober / Piztache,1,1,1,27,1
8/1/2025,7,Jerry,Kilo,Jerry / Kilo,1,0,-1,27,1
8/1/2025,7,Piztache,Rober,Rober / Piztache,1,1,1,27,2
8/1/2025,7,Kilo,Jerry,Jerry / Kilo,1,0,-1,27,2
8/1/2025,8,Rober,Piztache,Rober / Piztache,1,1,2,28,1
8/1/2025,8,Jorge,Kilo,Jorge / Kilo,1,0,-2,28,1
8/1/2025,8,Piztache,Rober,Rober / Piztache,1,1,2,28,2
8/1/2025,8,Kilo,Jorge,Jorge / Kilo,1,0,-2,28,2
8/1/2025,9,Jerry,Jorge,Jerry / Jorge,1,1,3,29,1
8/1/2025,9,Rober,Piztache,Rober / Piztache,1,0,-3,29,1
8/1/2025,9,Jorge,Jerry,Jerry / Jorge,1,1,3,29,2
8/1/2025,9,Piztache,Rober,Rober / Piztache,1,0,-3,29,2
8/1/2025,10,Jorge,Kilo,Jorge / Kilo,1,1,8,30,1
8/1/2025,10,Rober,Jerry,Rober / Jerry,1,0,-8,30,1
8/1/2025,10,Kilo,Jorge,Jorge / Kilo,1,1,8,30,2
8/1/2025,10,Jerry,Rober,Rober / Jerry,1,0,-8,30,2
8/15/2025,1,Jerry,Jorge,Jerry / Jorge,1,1,1,33,1
8/15/2025,1,Kilo,Piztache,Kilo / Piztache,1,0,-1,33,1
8/15/2025,1,Jorge,Jerry,Jerry / Jorge,1,1,1,33,2
8/15/2025,1,Piztache,Kilo,Kilo / Piztache,1,0,-1,33,2
8/15/2025,2,Jerry,Kilo,Jerry / Kilo,1,1,2,34,1
8/15/2025,2,Jorge,Piztache,Jorge / Piztache,1,0,-2,34,1
8/15/2025,2,Kilo,Jerry,Jerry / Kilo,1,1,2,34,2
8/15/2025,2,Piztache,Jorge,Jorge / Piztache,1,0,-2,34,2
8/15/2025,3,Jorge,Piztache,Jorge / Piztache,1,1,2,35,1
8/15/2025,3,Jerry,Kilo,Jerry / Kilo,1,0,-2,35,1
8/15/2025,3,Piztache,Jorge,Jorge / Piztache,1,1,2,35,2
8/15/2025,3,Kilo,Jerry,Jerry / Kilo,1,0,-2,35,2
8/15/2025,4,Jorge,Piztache,Jorge / Piztache,1,1,2,36,1
8/15/2025,4,Jerry,Kilo,Jerry / Kilo,1,0,-2,36,1
8/15/2025,4,Piztache,Jorge,Jorge / Piztache,1,1,2,36,2
8/15/2025,4,Kilo,Jerry,Jerry / Kilo,1,0,-2,36,2
8/15/2025,5,Jorge,Kilo,Jorge / Kilo,1,1,2,37,1
8/15/2025,5,Jerry,Piztache,Jerry / Piztache,1,0,-2,37,1
8/15/2025,5,Kilo,Jorge,Jorge / Kilo,1,1,2,37,2
8/15/2025,5,Piztache,Jerry,Jerry / Piztache,1,0,-2,37,2
8/15/2025,6,Jorge,Piztache,Jorge / Piztache,1,1,2,38,1
8/15/2025,6,Jerry,Kilo,Jerry / Kilo,1,0,-2,38,1
