Fecha,Id,Jugador,Pareja,Equipo,Jugados,Ganados ,Puntos,Partida,Doble
10/10/2025,1,Jerry,Piztache,Jerry / Piztache,1,1,2,1,1
10/10/2025,1,Jorge,Kilo,Jorge / Kilo,1,0,-2,1,1
10/10/2025,2,Jorge,Piztache,Jorge / Piztache,1,1,1,2,1
10/10/2025,2,Jerry,Kilo,Jerry / Kilo,1,0,-1,2,1
10/10/2025,3,Jorge,Piztache,Jorge / Piztache,1,1,2,3,1
10/10/2025,3,Jerry,Kilo,Jerry / Kilo,1,0,-2,3,1
10/10/2025,4,Jorge,Piztache,Jorge / Piztache,1,1,2,4,1
10/10/2025,4,Jerry,Kilo,Jerry / Kilo,1,0,-2,4,1
10/10/2025,5,Kilo,Piztache,Kilo / Piztache,1,1,4,5,1
10/10/2025,5,Jerry,Jorge,Jerry / Jorge,1,0,-4,5,1
10/17/2025,1,Rober,Kilo,Rober / Kilo,1,1,3,8,1
10/17/2025,1,Jorge,Piztache,Jorge / Piztache,1,0,-3,8,1
10/17/2025,2,Rober,Kilo,Rober / Kilo,1,1,4,9,1
10/17/2025,2,Jorge,Piztache,Jorge / Piztache,1,0,-4,9,1
10/17/2025,3,Rober,Piztache,Rober / Piztache,1,1,2,10,1
10/17/2025,3,Jorge,Kilo,Jorge / Kilo,1,0,-2,10,1
10/17/2025,4,Rober,Jerry,Rober / Jerry,1,1,3,11,1
10/17/2025,4,Kilo,Piztache,Kilo / Piztache,1,0,-3,11,1
10/17/2025,5,Jorge,Piztache,Jorge / Piztache,1,1,3,12,1
10/17/2025,5,Rober,Jerry,Rober / Jerry,1,0,-3,12,1
10/17/2025,6,Jerry,Piztache,Jerry / Piztache,1,1,4,13,1
10/17/2025,6,Jorge,Kilo,Jorge / Kilo,1,0,-4,13,1
10/17/2025,7,Jerry,Kilo,Jerry / Kilo,1,1,1,14,1
10/17/2025,7,Rober,Piztache,Rober / Piztache,1,0,-1,14,1
10/17/2025,8,Kilo,Piztache,Kilo / Piztache,1,1,2,15,1
10/17/2025,8,Jerry,Jorge,Jerry / Jorge,1,0,-2,15,1
10/17/2025,9,Rober,Jerry,Rober / Jerry,1,1,2,16,1
10/17/2025,9,Jorge,Kilo,Jorge / Kilo,1,0,-2,16,1
10/17/2025,10,Rober,Jerry,Rober / Jerry,1,1,1,17,1
10/17/2025,10,Jorge,Piztache,Jorge / Piztache,1,0,-1,17,1
10/17/2025,11,Rober,Kilo,Rober / Kilo,1,1,1,18,1
10/17/2025,11,Jorge,Piztache,Jorge / Piztache,1,0,-1,18,1
10/17/2025,12,Rober,Kilo,Rober / Kilo,1,1,1,19,1
10/17/2025,12,Jerry,Jorge,Jerry / Jorge,1,0,-1,19,1
10/17/2025,13,Jerry,Jorge,Jerry / Jorge,1,1,1,20,1
10/17/2025,13,Rober,Kilo,Rober / Kilo,1,0,-1,20,1
10/17/2025,14,Jerry,Jorge,Jerry / Jorge,1,1,2,21,1
10/17/2025,14,Rober,Kilo,Rober / Kilo,1,0,-2,21,1
10/17/2025,15,Jerry,Jorge,Jerry / Jorge,1,1,1,22,1
10/17/2025,15,Rober,Kilo,Rober / Kilo,1,0,-1,22,1
10/31/2025,1,Rober,Jerry,Rober / Jerry,1,1,1,25,1
10/31/2025,1,Kilo,Piztache,Kilo / Piztache,1,0,-1,25,1
10/31/2025,2,Jerry,Piztache,Jerry / Piztache,1,1,1,26,1
10/31/2025,2,Rober,Kilo,Rober / Kilo,1,0,-1,26,1
10/31/2025,3,Rober,Jerry,Rober / Jerry,1,1,2,27,1
